Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
4.329: [GC (Allocation Failure) [PSYoungGen: 32565K->2123K(36352K)] 54592K->24939K(121856K), 0.0016246 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.647: [GC (Allocation Failure) [PSYoungGen: 32331K->3334K(37376K)] 55147K->26717K(122880K), 0.0032002 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.711: [GC (Allocation Failure) [PSYoungGen: 34566K->3738K(37376K)] 57949K->27772K(122880K), 0.0019450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.791: [GC (Allocation Failure) [PSYoungGen: 34970K->2682K(36352K)] 59004K->27284K(121856K), 0.0016377 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.864: [GC (Allocation Failure) [PSYoungGen: 33914K->2727K(36864K)] 58516K->27801K(122368K), 0.0016070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.935: [GC (Allocation Failure) [PSYoungGen: 33959K->3065K(37888K)] 59033K->28547K(123392K), 0.0016690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.013: [GC (Allocation Failure) [PSYoungGen: 35321K->3012K(35328K)] 60803K->29166K(120832K), 0.0018541 secs] [Times: user=0.00 sys=0.03, real=0.00 secs] 
5.118: [GC (Allocation Failure) [PSYoungGen: 35268K->2276K(37376K)] 61422K->29134K(122880K), 0.0018363 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.223: [GC (Allocation Failure) [PSYoungGen: 34532K->2421K(37376K)] 61390K->30023K(122880K), 0.0018403 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.283: [GC (Allocation Failure) [PSYoungGen: 34677K->992K(38400K)] 62279K->29345K(123904K), 0.0016225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.355: [GC (Allocation Failure) [PSYoungGen: 34272K->3704K(38400K)] 62625K->32562K(123904K), 0.0020910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
